,slide,initialAOI,fixationTime,correctedAOI,Transition
321,4.bmp,4,0.29192,8,Invalid
322,4.bmp,7,0.54642,6,Invalid
323,4.bmp,5,0.42731,9,Surface
324,4.bmp,4,0.88165,8,Meaningful
325,4.bmp,2,0.21393,1,Invalid
326,4.bmp,1,0.31244,7,Surface
327,4.bmp,8,1.23091,2,Invalid
328,4.bmp,3,0.42561,4,Invalid
329,4.bmp,4,0.52576,8,Invalid
330,5.bmp,5,0.39432,4,Invalid
331,5.bmp,4,0.24658,5,Meaningful
332,5.bmp,6,0.23001,1,Invalid
333,5.bmp,8,0.22998,9,Invalid
334,5.bmp,3,0.31204,8,Meaningful
335,5.bmp,8,0.57498,9,Meaningful
336,5.bmp,4,1.56083,5,Invalid
337,5.bmp,8,0.7713,9,Invalid
338,5.bmp,2,0.99702,6,Surface
339,5.bmp,6,0.24582,1,Invalid
340,5.bmp,8,0.54169,9,Invalid
341,5.bmp,4,0.49332,5,Invalid
342,5.bmp,7,0.26236,7,Invalid
343,5.bmp,5,0.23041,4,Surface
344,5.bmp,6,0.36105,1,Surface
345,5.bmp,3,0.42343,8,Invalid
346,5.bmp,2,1.46204,6,Invalid
347,5.bmp,3,0.26251,8,Invalid
348,5.bmp,4,0.57498,5,Surface
349,5.bmp,7,0.31268,7,Invalid
350,5.bmp,8,1.16697,9,Meaningful
351,5.bmp,9,0.95422,3,Surface
352,5.bmp,2,1.59245,6,Surface
353,5.bmp,1,0.90536,2,Invalid
354,5.bmp,3,0.5932,8,Surface
355,5.bmp,4,0.19708,5,Surface
356,5.bmp,5,0.27863,4,Meaningful
357,5.bmp,7,0.24628,7,Surface
358,5.bmp,2,0.32739,6,Invalid
359,5.bmp,3,0.36133,8,Invalid
360,5.bmp,5,0.36148,4,Invalid
361,5.bmp,8,0.27921,9,Invalid
362,5.bmp,5,0.21356,4,Invalid
363,5.bmp,6,0.90381,1,Surface
364,6.bmp,5,0.26291,2,Invalid
365,6.bmp,8,1.27353,3,Meaningful
366,6.bmp,3,0.27914,5,Invalid
367,6.bmp,8,0.44342,3,Invalid
368,6.bmp,5,0.24625,2,Meaningful
369,6.bmp,2,0.5744,6,Invalid
370,6.bmp,1,0.21356,9,Surface
371,6.bmp,4,0.67447,4,Invalid
372,6.bmp,7,0.21179,1,Surface
373,6.bmp,5,0.39444,2,Meaningful
374,6.bmp,9,0.27899,8,Surface
375,6.bmp,8,0.67874,3,Invalid
376,6.bmp,7,0.27911,1,Meaningful
377,6.bmp,9,0.21457,8,Invalid
378,6.bmp,5,0.67105,2,Surface
379,6.bmp,8,0.65619,3,Meaningful
380,6.bmp,9,0.23013,8,Invalid
381,6.bmp,5,0.37769,2,Surface
382,6.bmp,8,0.60663,3,Meaningful
383,6.bmp,5,1.10123,2,Meaningful
384,6.bmp,2,0.26291,6,Invalid
385,6.bmp,3,0.60825,5,Meaningful
386,6.bmp,5,0.21371,2,Surface
387,6.bmp,1,1.38586,9,Invalid
388,6.bmp,7,0.21359,1,Invalid
389,6.bmp,8,0.23074,3,Meaningful
390,6.bmp,5,0.21451,2,Meaningful
391,6.bmp,1,0.32849,9,Invalid
392,6.bmp,5,0.55969,2,Invalid
393,6.bmp,9,0.26282,8,Surface
394,6.bmp,6,0.36029,7,Meaningful
395,6.bmp,1,1.16593,9,Meaningful
396,6.bmp,9,0.44351,8,Meaningful
397,6.bmp,2,0.42712,6,Invalid
398,6.bmp,1,0.21307,9,Surface
399,6.bmp,2,0.21255,6,Surface
400,6.bmp,4,0.34528,4,Meaningful
401,6.bmp,7,0.26337,1,Surface
402,6.bmp,1,0.43887,9,Invalid
403,6.bmp,2,0.19809,6,Surface
404,6.bmp,6,0.21356,7,Invalid
405,6.bmp,3,0.65683,5,Invalid
406,6.bmp,2,0.42725,6,Meaningful
407,6.bmp,5,0.34402,2,Invalid
408,6.bmp,2,0.55759,6,Invalid
409,6.bmp,5,0.75577,2,Invalid
410,6.bmp,8,0.88528,3,Meaningful
411,6.bmp,2,0.22998,6,Surface
412,6.bmp,5,0.2793,2,Invalid
413,6.bmp,7,0.29364,1,Meaningful
414,6.bmp,1,0.41168,9,Invalid
415,6.bmp,2,0.21359,6,Surface
416,6.bmp,3,0.36139,5,Meaningful
417,6.bmp,6,0.52417,7,Invalid
418,6.bmp,4,0.24622,4,Surface
419,6.bmp,1,0.50849,9,Invalid
420,6.bmp,9,0.19717,8,Meaningful
421,6.bmp,1,0.2948,9,Meaningful
422,6.bmp,2,0.52536,6,Surface
423,6.bmp,1,0.93589,9,Surface
424,6.bmp,2,0.64059,6,Surface
425,6.bmp,9,0.44373,8,Invalid
426,6.bmp,1,0.2009,9,Meaningful
427,6.bmp,6,0.26285,7,Meaningful
428,6.bmp,4,0.37769,4,Surface
429,6.bmp,1,0.59302,9,Invalid
430,6.bmp,4,0.69006,4,Invalid
431,7.bmp,3,0.23056,2,Invalid
432,7.bmp,5,0.29562,4,Invalid
433,7.bmp,6,0.24515,6,Invalid
434,7.bmp,4,0.21335,1,Invalid
435,7.bmp,7,0.37875,9,Invalid
436,7.bmp,8,0.2663,3,Surface
437,7.bmp,5,0.8052,4,Invalid
438,7.bmp,2,0.31311,8,Invalid
439,7.bmp,4,0.55975,1,Invalid
440,7.bmp,5,0.50946,4,Surface
441,7.bmp,4,0.2464,1,Surface
442,7.bmp,5,0.67291,4,Surface
443,7.bmp,6,0.68985,6,Invalid
444,7.bmp,8,1.64326,3,Surface
445,7.bmp,5,0.21335,4,Invalid
446,7.bmp,4,0.21335,1,Surface
447,7.bmp,5,0.21362,4,Surface
448,7.bmp,6,0.70505,6,Invalid
449,7.bmp,5,1.08338,4,Invalid
450,7.bmp,3,0.24646,2,Invalid
451,7.bmp,2,0.32874,8,Surface
452,7.bmp,9,0.2793,7,Invalid
453,7.bmp,7,0.88714,9,Invalid
454,7.bmp,4,0.22971,1,Invalid
455,7.bmp,6,2.18463,6,Invalid
456,7.bmp,5,0.22977,4,Invalid
457,7.bmp,1,0.47647,5,Invalid
458,7.bmp,3,0.77255,2,Surface
459,7.bmp,6,0.88776,6,Invalid
460,8.bmp,5,1.29827,5,Invalid
461,8.bmp,8,0.1478,9,Invalid
462,8.bmp,9,0.23151,6,Surface
463,8.bmp,5,0.2265,5,Meaningful
464,8.bmp,1,0.50934,7,Invalid
465,8.bmp,5,0.18045,5,Invalid
466,8.bmp,4,0.26398,2,Surface
467,8.bmp,7,0.29529,1,Meaningful
468,8.bmp,1,0.31207,7,Surface
469,8.bmp,6,0.34476,3,Invalid
470,8.bmp,9,0.14999,6,Surface
471,8.bmp,6,0.46036,3,Surface
472,8.bmp,5,0.37781,5,Invalid
473,8.bmp,8,0.24631,9,Invalid
474,8.bmp,9,0.32941,6,Surface
475,9.bmp,6,0.36145,4,Invalid
476,9.bmp,5,0.31259,8,Invalid
477,9.bmp,6,0.26245,4,Invalid
478,9.bmp,8,0.19717,3,Invalid
479,9.bmp,5,0.49044,8,Invalid
480,9.bmp,2,0.13034,2,Surface
481,9.bmp,1,0.26266,1,Invalid
482,9.bmp,3,0.22879,7,Invalid
483,9.bmp,6,0.22992,4,Surface
484,9.bmp,7,0.24603,6,Invalid
485,9.bmp,5,0.37671,8,Meaningful
486,9.bmp,2,0.42709,2,Surface
487,9.bmp,1,0.4599,1,Invalid
488,9.bmp,2,0.24472,2,Invalid
489,9.bmp,1,0.28003,1,Invalid
490,9.bmp,8,0.22919,3,Surface
491,9.bmp,5,0.96982,8,Invalid
492,9.bmp,6,0.26306,4,Invalid
493,9.bmp,7,0.56024,6,Invalid
494,9.bmp,5,0.19727,8,Meaningful
495,9.bmp,4,0.34357,5,Surface
496,9.bmp,2,0.26312,2,Surface
