,slide,initialAOI,fixationTime,correctedAOI,Transition,Transition
287,8.bmp,3,0.36234,8,Invalid,Invalid
288,8.bmp,2,0.23003,9,Meaningful,Meaningful
289,8.bmp,1,0.23038,7,Meaningful,Meaningful
290,8.bmp,4,0.21313,6,Invalid,Invalid
291,8.bmp,6,0.37845,1,Invalid,Invalid
292,8.bmp,5,0.49313,4,Surface,Surface
293,8.bmp,2,0.27911,9,Invalid,Invalid
294,8.bmp,3,0.26263,8,Meaningful,Meaningful
295,8.bmp,10,0.19951,10,Invalid,Invalid
296,8.bmp,8,1.92185,5,Invalid,Invalid
297,8.bmp,5,0.21263,4,Meaningful,Meaningful
298,8.bmp,8,0.49234,5,Meaningful,Meaningful
299,8.bmp,0,0.29553,0,Invalid,Invalid
300,8.bmp,5,0.47643,4,Invalid,Invalid
301,8.bmp,1,0.26302,7,Surface,Surface
302,8.bmp,4,0.26288,6,Invalid,Invalid
303,8.bmp,5,0.29575,4,Meaningful,Meaningful
304,8.bmp,6,0.2328,1,Surface,Surface
305,8.bmp,8,0.21867,5,Invalid,Invalid
306,8.bmp,2,0.21391,9,Invalid,Invalid
307,8.bmp,5,0.23016,4,Invalid,Invalid
308,8.bmp,6,0.39456,1,Surface,Surface
309,8.bmp,5,0.45938,4,Surface,Surface
310,8.bmp,1,0.39552,7,Surface,Surface
311,8.bmp,4,0.213,6,Invalid,Invalid
312,8.bmp,2,0.26241,9,Surface,Surface
313,8.bmp,1,0.26245,7,Meaningful,Meaningful
314,9.bmp,5,0.39453,8,Invalid,Invalid
315,9.bmp,6,0.50714,2,Surface,Surface
316,9.bmp,5,0.65691,8,Surface,Surface
317,9.bmp,9,0.31198,7,Meaningful,Meaningful
318,9.bmp,8,0.23019,4,Surface,Surface
319,9.bmp,2,0.23206,3,Invalid,Invalid
320,9.bmp,3,0.23212,9,Invalid,Invalid
321,9.bmp,2,0.2041,3,Invalid,Invalid
322,9.bmp,6,0.39398,2,Invalid,Invalid
323,9.bmp,0,0.27866,0,Invalid,Invalid
324,9.bmp,8,0.2298,4,Invalid,Invalid
325,9.bmp,9,1.19916,7,Surface,Surface
326,9.bmp,10,0.31326,10,Invalid,Invalid
327,9.bmp,9,0.2466,7,Invalid,Invalid
328,9.bmp,10,0.27982,10,Invalid,Invalid
329,9.bmp,0,0.45952,0,Invalid,Invalid
330,9.bmp,10,0.29532,10,Invalid,Invalid
331,9.bmp,0,0.2299,0,Invalid,Invalid
332,9.bmp,8,0.24646,4,Invalid,Invalid
333,9.bmp,10,0.26295,10,Invalid,Invalid
334,9.bmp,5,0.19669,8,Invalid,Invalid
335,9.bmp,7,0.44336,5,Surface,Surface
336,9.bmp,5,0.37753,8,Surface,Surface
337,9.bmp,4,0.34488,6,Meaningful,Meaningful
338,9.bmp,7,0.39435,5,Invalid,Invalid
339,9.bmp,8,0.32901,4,Invalid,Invalid
340,9.bmp,7,0.24646,5,Invalid,Invalid
341,9.bmp,8,0.24643,4,Invalid,Invalid
342,9.bmp,5,0.23021,8,Invalid,Invalid
343,9.bmp,6,0.2467,2,Surface,Surface
344,9.bmp,5,0.26237,8,Surface,Surface
345,9.bmp,6,1.36249,2,Surface,Surface
346,10.bmp,5,0.26395,5,Invalid,Invalid
347,10.bmp,6,0.59157,2,Invalid,Invalid
348,10.bmp,5,0.444,5,Invalid,Invalid
349,10.bmp,7,0.29578,1,Invalid,Invalid
